nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2020-04-01 05:10:00,1430,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2020-04-01 04:00:53,1700,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2020-04-01 05:10:00,1720,Status : Siaga 2
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2020-04-01 05:10:00,1850,Status : Siaga 2
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2020-04-01 05:10:00,1830,Status : Normal
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2020-04-01 05:40:00,140,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2020-04-01 05:40:00,380,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2020-04-01 05:40:00,1100,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2020-04-01 05:40:00,7290,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2020-04-01 05:40:00,250,Status : Normal
